Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Julian Phillips,SF,20,CHI,40,323,7.0,4.1,8.5,6.2,5.3,1.1,2.2,13.0,0.0,0.2,0.2,0.031,-4.7,-0.6,-5.3,-0.3,0,1,0,2024
Jalen Pickett,SG,24,DEN,27,122,9.7,0.9,11.5,6.4,21.7,1.6,0.0,16.4,0.0,0.1,0.2,0.065,-2.7,-0.5,-3.3,0.0,0,1,0,2024
Scotty Pippen Jr.,PG,23,MEM,21,527,16.4,4.4,9.7,7.0,30.7,3.3,1.8,23.0,0.3,0.7,1.0,0.09,-0.1,1.4,1.3,0.4,0,0,0,2024
Mason Plumlee,C,33,LAC,46,674,15.8,10.4,28.2,19.6,10.8,1.0,2.3,15.1,1.2,0.9,2.0,0.146,-1.1,0.4,-0.8,0.2,0,0,0,2024
Brandin Podziemski,SG,20,GSW,74,1968,13.0,6.6,16.7,11.7,18.1,1.5,0.6,15.4,2.1,2.0,4.1,0.1,-0.5,0.4,-0.1,0.9,0,1,1,2024
Jakob Poeltl,C,28,TOR,50,1319,18.9,11.9,24.1,17.9,14.0,1.3,5.1,16.2,2.4,1.4,3.8,0.138,-0.3,1.0,0.7,0.9,0,0,0,2024
Jordan Poole,SG,24,WAS,78,2346,12.1,1.4,8.4,4.8,21.4,1.7,0.9,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2,0,0,0,2024
Craig Porter Jr.,PG,23,CLE,51,649,15.4,3.7,15.1,9.4,26.5,1.6,2.1,20.2,0.6,0.9,1.5,0.108,-0.6,1.1,0.5,0.4,0,1,0,2024
Jontay Porter,PF,24,TOR,26,360,14.9,7.8,17.5,12.5,21.8,2.7,4.9,15.8,0.2,0.4,0.7,0.089,-0.3,1.9,1.7,0.3,0,0,0,2024
Michael Porter Jr.,SF,25,DEN,81,2565,15.5,4.7,19.3,12.2,6.7,0.8,1.8,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,0,0,0,2024
