Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Ryan Arcidiacono,PG,23,CHI,24,304,7.3,0.3,8.8,4.4,15.5,2.1,0.0,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2,0,1,0,2018
Trevor Ariza,SF,32,HOU,67,2269,11.8,1.7,12.9,7.3,6.8,2.1,0.5,14.4,2.6,2.8,5.3,0.113,0.0,0.7,0.7,1.5,0,0,0,2018
Darrell Arthur,PF,29,DEN,19,141,8.4,2.4,9.5,6.0,9.3,2.8,1.8,19.5,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1,0,0,0,2018
Jamel Artis,SG,25,ORL,15,279,6.9,1.6,13.5,7.5,9.3,0.4,0.9,14.5,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2,0,1,0,2018
D.J. Augustin,PG,30,ORL,75,1760,15.4,1.9,8.2,5.0,24.4,1.5,0.0,18.6,3.3,0.8,4.1,0.11,1.0,-1.2,-0.2,0.8,0,0,0,2018
Dwayne Bacon,SG,22,CHO,53,713,5.8,0.6,18.5,9.4,7.5,1.1,0.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5,0,1,0,2018
Ron Baker,SG,24,NYK,29,385,9.3,1.4,7.2,4.3,15.5,3.3,1.3,10.0,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2,0,0,0,2018
Wade Baldwin,PG,21,POR,7,80,16.6,1.4,9.5,5.5,9.8,1.2,1.0,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1,0,0,0,2018
Lonzo Ball,PG,20,LAL,52,1780,12.5,4.2,17.3,10.8,29.2,2.4,2.0,17.4,-0.5,2.5,2.0,0.053,-0.7,1.6,1.0,1.3,0,1,1,2018
J.J. Barea,PG,33,DAL,69,1603,17.8,1.0,13.4,7.0,45.1,1.1,0.2,24.9,2.3,1.0,3.3,0.098,2.7,-1.5,1.2,1.3,0,0,0,2018
Harrison Barnes,PF,25,DAL,77,2634,15.8,3.1,17.1,9.9,9.9,0.9,0.5,25.2,2.0,1.9,3.8,0.07,0.8,-1.3,-0.5,1.0,0,0,0,2018
Will Barton,SG,27,DEN,81,2683,16.2,3.0,14.2,8.6,18.5,1.5,1.6,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,0,0,0,2018
Nicolas Batum,SG,29,CHO,64,1981,14.4,3.1,13.8,8.4,26.2,1.6,1.0,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2,0,0,0,2018
Jerryd Bayless,SG,29,PHI,39,925,7.5,1.8,7.3,4.7,8.0,1.2,0.5,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2,0,0,0,2018
Aron Baynes,C,31,BOS,81,1485,12.0,9.7,22.1,16.0,9.6,0.7,2.9,16.8,0.5,2.5,3.0,0.097,-3.6,0.7,-2.9,-0.3,0,0,0,2018
Kent Bazemore,SG,28,ATL,65,1789,14.5,1.6,13.9,7.7,20.1,2.7,2.2,22.5,0.2,2.0,2.2,0.059,-0.4,1.0,0.6,1.2,0,0,0,2018
Bradley Beal,SG,24,WAS,82,2977,18.4,2.3,11.5,6.9,21.0,1.6,1.1,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1,0,0,0,2018
Malik Beasley,SG,21,DEN,62,583,9.0,2.7,11.0,6.9,7.4,1.3,1.0,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3,0,0,0,2018
Michael Beasley,PF,29,NYK,74,1653,17.8,6.5,21.2,13.9,12.5,1.1,2.3,26.9,0.9,1.5,2.4,0.069,0.6,-0.8,-0.2,0.7,0,0,0,2018
Jordan Bell,C,23,GSW,57,809,18.0,8.9,19.0,14.3,16.9,2.1,5.5,13.9,1.6,1.4,2.9,0.174,0.0,2.8,2.8,1.0,0,1,0,2018
DeAndre' Bembry,SF,23,ATL,26,455,7.6,2.0,15.7,8.8,15.9,2.3,2.3,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3,0,0,0,2018
Dragan Bender,PF,20,PHO,82,2069,7.1,2.0,16.8,9.3,8.9,0.5,2.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9,0,0,0,2018
Dāvis Bertāns,PF,25,SAS,77,1086,14.1,1.8,13.9,7.8,10.3,1.2,2.1,17.4,1.6,1.4,3.1,0.135,1.0,0.6,1.6,1.0,0,0,0,2018
